Data,Net,MODE,Domain,Iteration,Accuracy,TimeStamp,elapse(ms),,,
CIFAR10,VGG,GPU,Spatial,31100,0.984375,1.56445E+12,36590,,,
CIFAR10,VGG,GPU,Spatial,31200,0.96875,1.56445E+12,36592,,,
CIFAR10,VGG,GPU,Spatial,31300,0.9765625,1.56445E+12,36598,,,
CIFAR10,VGG,GPU,Spatial,31400,1,1.56445E+12,36598,,,
CIFAR10,VGG,GPU,Spatial,31500,1,1.56445E+12,36597,,,
CIFAR10,VGG,GPU,Spatial,31600,0.9921875,1.56445E+12,36600,,,
CIFAR10,VGG,GPU,Spatial,31700,0.984375,1.56445E+12,36600,,,
CIFAR10,VGG,GPU,Spatial,31800,0.9765625,1.56445E+12,36602,,,
CIFAR10,VGG,GPU,Spatial,31900,0.96875,1.56445E+12,113145,,,
CIFAR10,VGG,GPU,Spatial,32000,0.984375,1.56445E+12,36585,,,
CIFAR10,VGG,GPU,Spatial,32100,0.9921875,1.56445E+12,36593,,,
CIFAR10,VGG,GPU,Spatial,32200,0.9921875,1.56445E+12,36597,,,
CIFAR10,VGG,GPU,Spatial,32300,0.9921875,1.56445E+12,36596,,,
CIFAR10,VGG,GPU,Spatial,32400,0.9765625,1.56445E+12,36596,,,
